,In-degree,Out-degree,Betweenness,Closeness,Eigenvector
missbikesalot,77.0,90.0,0.0005513419201383669,0.4949223827755867,0.028932591357582714
bouldertomorrow,115.99999999999999,76.0,0.0004631850246674056,0.5048513811954671,0.03969316224635659
waylonlewis,102.0,141.0,0.0011273717919630423,0.5071995271545159,0.03769077509254953
cj_gauss,83.0,108.0,0.0004391355675530113,0.48900402842251534,0.033222426700028326
boonrs,154.0,220.0,0.002679743715582663,0.5259544935927054,0.054751442206654406
hydewright,93.0,64.0,0.0002314589895534957,0.5009857504053029,0.035423849831797354
bobmorehouse,26.0,8.0,2.1512147186748968e-05,0.4696966188293794,0.011754102953721242
boulderadvocacy,118.00000000000001,95.99999999999999,0.00041722458603009603,0.5068066537794931,0.044526483458631465
cohousedem,171.0,104.0,0.0010484944740421335,0.5411806369142478,0.05428061257215748
davekrieger,132.0,92.0,0.0010464336657188373,0.5217602791302437,0.047042399147101024
stutzmane,105.0,121.0,0.0011577000096705359,0.5083818104345964,0.04184891367324516
hickenlooper,250.0,33.0,0.0014013586745726058,0.5878592902329969,0.07367191920956047
scottholton,99.0,149.0,0.0009076747411198133,0.4941747658831764,0.03719738124773549
boulderhousing,103.0,39.0,0.00017287757869509655,0.5079871040600353,0.03948323977183875
stevefenberg,235.00000000000003,81.0,0.001306489131604991,0.5704336443150179,0.07444575269653352
ecocycle,88.0,90.0,0.0005089706915242674,0.49231556811837884,0.034865971629081415
rorowe,75.0,147.0,0.0007364229248852861,0.4926862876726849,0.028306133917798803
bouldershelter,79.0,47.99999999999999,0.0001939861288491279,0.49157580017229563,0.03060886553780215
actiondannyp,69.0,63.0,0.00020269218665451224,0.48465732594764854,0.02832235682959653
kcbecker,358.0,282.0,0.013573774351652869,0.6395771163532019,0.10481490515095765
lizinboulder,56.0,124.0,0.0006549533570534808,0.48501659750135323,0.022087500341805403
mitchellbyars,459.99999999999994,137.0,0.019736707198320234,0.7111819456840495,0.12199712305459483
joneszan,286.0,159.0,0.005099824988007721,0.5948067182084777,0.08450318622622714
tim_plass,75.0,101.0,0.00039297515262682367,0.48682097472420055,0.027979033975585283
crystalboulder,63.0,77.0,0.0005281169957366444,0.48501659750135323,0.02312253665512464
bikepedbrian,68.0,170.0,0.0006324668128317183,0.48465732594764854,0.027098070006824643
reginacowles,127.0,199.0,0.0028898714706273214,0.5180422723905982,0.047163061777093375
bouldertayer,217.0,175.0,0.004657276678424916,0.5587424338422934,0.06791773474467316
estrellaboulder,114.0,129.0,0.0006503887967475222,0.5083818104345964,0.045244919794495485
drcogorg,110.0,115.99999999999999,0.0010390481766300516,0.5083818104345964,0.04142211220055036
cmgosnell,101.0,104.0,0.0006212275215818252,0.4968013591718493,0.038308152104138585
alex_burness,412.0,88.0,0.0029025210424751162,0.6759167252369066,0.11395403669704068
willtoor,246.0,197.00000000000003,0.0045560513345885316,0.5734332953806534,0.07682677957554593
thehillboulder,85.0,97.00000000000001,0.000528615324978911,0.4926862876726849,0.031313312393394244
masalacoop,75.0,87.0,0.0004021774719225038,0.48754649033481784,0.0286486263127856
therayback,126.0,65.0,0.000696671389675992,0.5083818104345964,0.040052246325983906
ericmbudd,460.99999999999994,189.99999999999997,0.02563268701632178,0.7150681858243995,0.11532649022380503
boulderlatino,72.0,46.0,0.00015274807034112062,0.49231556811837884,0.028255391159317758
neweracolorado,163.0,100.0,0.0011859508299034306,0.5354233960960111,0.06060426090913276
marakabbott,100.0,67.0,0.0003254446724139458,0.5021392095390065,0.03515205787539567
commfound,130.0,112.0,0.001241109869525675,0.5159995189505723,0.04541255809607498
danicap,93.0,152.0,0.0006525301154144512,0.4956722651737315,0.03552695967379875
aliciawallace,133.0,178.0,0.003556209740170897,0.5259544935927054,0.04711218191894218
jerryshapins,102.0,184.0,0.0011143670301593683,0.4952970401433199,0.039043782944998405
sampweaver,301.0,269.0,0.013588121882688391,0.6041434810981768,0.08279721768885888
jaredpolis,411.0,207.0,0.01530811178169547,0.6822600521682227,0.11554348468331295
openboulder,207.0,116.99999999999999,0.001696755689428905,0.5456942368885117,0.06292790380983614
espinozaa,197.00000000000003,268.0,0.005302032541096336,0.5470630351415765,0.06879614045810173
tmoshea,75.0,92.0,0.00040483837264560597,0.48609761517780503,0.028634707788350953
hillarygriffith,32.0,46.0,6.113864648970397e-05,0.47003404456129705,0.01331464928773958
boulderchamber,260.0,99.0,0.0023390659988838606,0.5821062188873003,0.08407587370580055
bouldercountyos,206.0,30.0,0.0003963652526608244,0.550746961304146,0.06114737966138829
mcowlz,137.0,85.0,0.000634370157202682,0.5209294506602911,0.04734120513050148
planboulder,169.0,57.99999999999999,0.0008434888612094138,0.5323737917244308,0.05044502696301894
meltzere,302.0,249.0,0.009140100656255574,0.6035861531635844,0.09321114032171197
abetterboulder,356.0,398.0,0.024799499601496355,0.6309425169038819,0.09323360308522956
mimstah,106.0,173.0,0.0010657363547434482,0.49717886780343884,0.03707214524894064
zaneselvans,193.00000000000003,42.0,0.0008159648990588644,0.5452394916911045,0.06297678112904682
boulderbma,77.0,50.0,0.0002554248649447767,0.49047030736831,0.026015598020810066
communitycycles,252.0,250.0,0.008407150586693958,0.574944982451077,0.07566420784530056
dailycamera,462.99999999999994,78.0,0.004420709214410643,0.7119558106956752,0.12365904582891579
boulderosmp,226.0,28.0,0.00032391765822049055,0.5587424338422934,0.06376663659680275
boulderoem,361.0,27.0,0.0006914440093360923,0.6383291610042201,0.0974220357081501
bouldercolorado,458.99999999999994,72.0,0.004021223677129746,0.7073377189506221,0.11651286529866023
hc_richardson,66.0,51.0,0.0022267772951082387,0.49010291387964455,0.014405806807128664
teampelosi,64.0,21.0,0.0012290602893239631,0.49983757832645187,0.016296565961865427
bestofnextdoor,93.0,8.0,0.0002090816437905222,0.5079871040600353,0.02239809156208777
coloclover,17.0,26.0,1.660609064979845e-05,0.4506111501579377,0.007404656106220842
senjohnmorse,41.0,11.0,2.2634133537357716e-05,0.47549955670735866,0.015578313863769106
abbeywinter1,55.0,83.0,0.00022161890193480807,0.4879100596788408,0.020483053561129873
chrislhayes,172.0,15.0,0.0003287202206231126,0.5521412574087136,0.044185255521075203
noroof,17.0,11.999999999999998,4.949108918777753e-06,0.45154409249780925,0.007525776347909601
bouldercast,86.0,8.0,1.5010687598190784e-05,0.4952970401433199,0.023489137715270975
jonstewart,84.0,0.0,0.0,0.510578050545119,0.022072005385881874
asharangappa_,78.0,11.999999999999998,6.233204836872195e-05,0.5025248771346587,0.018586659586355917
gretathunberg,186.99999999999997,16.0,0.0002779752946086324,0.5582656911513016,0.045214759858604715
presssec,129.0,20.0,0.010454779677861147,0.5349856010051722,0.030592809556627052
jrpsaki,92.0,25.0,0.0006947956573096724,0.5115616810237104,0.021913752337001755
vp,267.0,2.0,1.4903837824053239e-05,0.6058216574345606,0.06412856859034882
whitehouse,211.0,2.0,1.146588594995328e-05,0.5769730070805339,0.051006367057145174
iamjohnoliver,159.0,2.0,1.573550857019604e-05,0.5443322712390395,0.03916522103844122
mikeyfriesen,38.0,57.0,8.071115576370935e-05,0.4591490456346144,0.014772112618639801
