ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181007823,55-64,15.0,15.0,1.0,Even
2000,2181007823,65+,4.0,4.0,1.0,Even
2000,2181007824,18-24,8.0,5.0,0.625,Even
2000,2181007824,25-34,53.0,43.0,0.8113207547169812,Even
2000,2181007824,35-44,80.0,72.0,0.9,Even
2000,2181007824,45-54,76.0,70.0,0.9210526315789473,Even
2000,2181007824,55-64,41.0,40.0,0.975609756097561,Even
2000,2181007824,65+,7.0,7.0,1.0,Even
2000,2181007825,18-24,5.0,3.0,0.6,Even
2000,2181007825,25-34,38.0,34.0,0.8947368421052632,Even
2000,2181007825,35-44,48.0,47.0,0.9791666666666666,Even
2000,2181007825,45-54,64.0,62.0,0.96875,Even
2000,2181007825,55-64,26.0,24.0,0.9230769230769231,Even
2000,2181007825,65+,11.0,11.0,1.0,Even
2000,2181007826,18-24,6.0,4.0,0.6666666666666666,Even
2000,2181007826,25-34,34.0,32.0,0.9411764705882353,Even
2000,2181007826,35-44,82.0,76.0,0.926829268292683,Even
2000,2181007826,45-54,66.0,65.0,0.9848484848484849,Even
2000,2181007826,55-64,23.0,23.0,1.0,Even
2000,2181007826,65+,3.0,3.0,1.0,Even
2000,2181007827,18-24,8.0,4.0,0.5,Even
2000,2181007827,25-34,33.0,30.0,0.9090909090909091,Even
2000,2181007827,35-44,57.0,54.0,0.9473684210526315,Even
2000,2181007827,45-54,37.0,35.0,0.9459459459459459,Even
2000,2181007827,55-64,16.0,16.0,1.0,Even
2000,2181007827,65+,1.0,1.0,1.0,Even
2000,2181007828,18-24,4.0,1.0,0.25,Even
2000,2181007828,25-34,25.0,18.0,0.72,Even
2000,2181007828,35-44,34.0,32.0,0.9411764705882353,Even
2000,2181007828,45-54,23.0,21.0,0.9130434782608695,Even
2000,2181007828,55-64,13.0,12.0,0.9230769230769231,Even
2000,2181007828,65+,1.0,1.0,1.0,Even
2000,2181007829,18-24,3.0,2.0,0.6666666666666666,Even
2000,2181007829,25-34,7.0,3.0,0.42857142857142855,Even
2000,2181007829,35-44,15.0,14.0,0.9333333333333333,Even
2000,2181007829,45-54,21.0,20.0,0.9523809523809523,Even
2000,2181007829,55-64,10.0,8.0,0.8,Even
2000,2181007829,65+,9.0,9.0,1.0,Even
2000,2181007830,18-24,2.0,1.0,0.5,Even
2000,2181007830,25-34,6.0,5.0,0.8333333333333334,Even
2000,2181007830,35-44,7.0,7.0,1.0,Even
2000,2181007830,45-54,6.0,5.0,0.8333333333333334,Even
2000,2181007830,55-64,4.0,4.0,1.0,Even
2000,2181007830,65+,1.0,1.0,1.0,Even
2000,2181007831,18-24,3.0,3.0,1.0,Even
2000,2181007831,25-34,9.0,7.0,0.7777777777777778,Even
2000,2181007831,35-44,18.0,18.0,1.0,Even
2000,2181007831,45-54,19.0,17.0,0.8947368421052632,Even
2000,2181007831,55-64,9.0,9.0,1.0,Even
2000,2181007831,65+,2.0,2.0,1.0,Even
2000,2181007832,18-24,3.0,3.0,1.0,Even
2000,2181007832,25-34,10.0,8.0,0.8,Even
2000,2181007832,35-44,14.0,13.0,0.9285714285714286,Even
2000,2181007832,45-54,12.0,12.0,1.0,Even
2000,2181007832,55-64,7.0,7.0,1.0,Even
2000,2181007832,65+,1.0,1.0,1.0,Even
2000,2181007833,18-24,2.0,1.0,0.5,Even
2000,2181007833,25-34,5.0,5.0,1.0,Even
2000,2181007833,35-44,4.0,4.0,1.0,Even
2000,2181007833,45-54,6.0,6.0,1.0,Even
2000,2181007833,55-64,2.0,2.0,1.0,Even
2000,2181007833,65+,1.0,1.0,1.0,Even
2000,2181007834,18-24,,0.0,,Even
2000,2181007834,25-34,,0.0,,Even
2000,2181007834,35-44,,0.0,,Even
2000,2181007834,45-54,,0.0,,Even
2000,2181007834,55-64,1.0,1.0,1.0,Even
2000,2181007834,65+,,0.0,,Even
2000,2181007835,18-24,1.0,1.0,1.0,Even
2000,2181007835,25-34,1.0,1.0,1.0,Even
2000,2181007835,35-44,,0.0,,Even
2000,2181007835,45-54,1.0,1.0,1.0,Even
2000,2181007835,55-64,3.0,3.0,1.0,Even
2000,2181007835,65+,,0.0,,Even
2000,2181007836,18-24,2.0,1.0,0.5,Even
2000,2181007836,25-34,9.0,9.0,1.0,Even
2000,2181007836,35-44,12.0,11.0,0.9166666666666666,Even
2000,2181007836,45-54,19.0,15.0,0.7894736842105263,Even
2000,2181007836,55-64,23.0,21.0,0.9130434782608695,Even
2000,2181007836,65+,22.0,22.0,1.0,Even
2000,2181007837,18-24,3.0,1.0,0.3333333333333333,Even
2000,2181007837,25-34,4.0,2.0,0.5,Even
2000,2181007837,35-44,10.0,7.0,0.7,Even
2000,2181007837,45-54,14.0,13.0,0.9285714285714286,Even
2000,2181007837,55-64,8.0,7.0,0.875,Even
2000,2181007837,65+,1.0,1.0,1.0,Even
2000,2181007838,18-24,1.0,0.0,0.0,Even
2000,2181007838,25-34,4.0,2.0,0.5,Even
2000,2181007838,35-44,5.0,5.0,1.0,Even
2000,2181007838,45-54,5.0,5.0,1.0,Even
2000,2181007838,55-64,1.0,1.0,1.0,Even
2000,2181007838,65+,,0.0,,Even
2000,2181007839,18-24,7.0,6.0,0.8571428571428571,Even
2000,2181007839,25-34,23.0,18.0,0.782608695652174,Even
2000,2181007839,35-44,56.0,53.0,0.9464285714285714,Even
2000,2181007839,45-54,62.0,59.0,0.9516129032258065,Even
2000,2181007839,55-64,51.0,51.0,1.0,Even
2000,2181007839,65+,16.0,16.0,1.0,Even
2000,2181007840,18-24,1.0,1.0,1.0,Even
2000,2181007840,25-34,30.0,27.0,0.9,Even
2000,2181007840,35-44,37.0,35.0,0.9459459459459459,Even
2000,2181007840,45-54,45.0,44.0,0.9777777777777777,Even
2000,2181007840,55-64,45.0,45.0,1.0,Even
2000,2181007840,65+,7.0,6.0,0.8571428571428571,Even
2000,2181007841,18-24,5.0,3.0,0.6,Even
2000,2181007841,25-34,31.0,26.0,0.8387096774193549,Even
2000,2181007841,35-44,44.0,43.0,0.9772727272727273,Even
2000,2181007841,45-54,99.0,91.0,0.9191919191919192,Even
2000,2181007841,55-64,45.0,43.0,0.9555555555555556,Even
2000,2181007841,65+,3.0,3.0,1.0,Even
2000,2181007842,18-24,7.0,5.0,0.7142857142857143,Even
2000,2181007842,25-34,51.0,47.0,0.9215686274509803,Even
2000,2181007842,35-44,104.0,100.0,0.9615384615384616,Even
2000,2181007842,45-54,151.0,138.0,0.9139072847682119,Even
2000,2181007842,55-64,63.0,62.0,0.9841269841269841,Even
2000,2181007842,65+,12.0,12.0,1.0,Even
